divesiteid,gps,lat,lon,country,divesitename
d748bd9b,"-23.148567 43.570250","-23.148567","43.570250",Madagascar,Aquarium
ab7c4ff9,"-23.149783 43.579517","-23.149783","43.579517",Madagascar,"Trano Ny Fay"
93240945,"-23.145433 43.590567","-23.145433","43.590567",Madagascar,"Rose Garden New Coral Structures"
90493860,"-23.151183 43.570783","-23.151183","43.570783",Madagascar,"Coral Garden"
816373b5,"-23.145717 43.591233","-23.145717","43.591233",Madagascar,"Rose Garden"
65fba832,"41.479240 -71.361300","41.479240","-71.361300","United States","Fort Wetherill State Park"
65f1b393,"-23.152050 43.573383","-23.152050","43.573383",Madagascar,Ambatafia
3d8a76ce,"41.327207 -71.905246","41.327207","-71.905246","United States","Stonington Point"
33504354,"-23.146400 43.590950","-23.146400","43.590950",Madagascar,"Rose Garden Swim Through"
304692f1,"-23.146966 43.581383","-23.146966","43.581383",Madagascar,"Artificial Reef"
